EventType,Value,FrameNum
frame_time_ms,12.299955,483
frame_time_ms,12.323022,484
frame_time_ms,12.425005,485
frame_time_ms,12.457013,486
frame_time_ms,13.141036,487
frame_time_ms,12.565970,488
frame_time_ms,12.040973,489
frame_time_ms,12.163997,490
frame_time_ms,11.943996,491
frame_time_ms,12.413979,492
frame_time_ms,12.270033,493
frame_time_ms,12.136995,494
frame_time_ms,12.145996,495
frame_time_ms,12.474955,496
frame_time_ms,12.167990,497
frame_time_ms,12.121975,498
frame_time_ms,12.206018,499
frame_time_ms,12.490988,500
frame_time_ms,12.040019,501
frame_time_ms,13.152003,502
frame_time_ms,11.970997,503
frame_time_ms,12.534022,504
frame_time_ms,12.035966,505
frame_time_ms,12.219011,506
frame_time_ms,12.018978,507
frame_time_ms,12.053013,508
frame_time_ms,12.327015,509
frame_time_ms,12.398005,510
frame_time_ms,12.335957,511
frame_time_ms,12.166977,512
frame_time_ms,12.517988,513
frame_time_ms,12.451946,514
frame_time_ms,12.134970,515
frame_time_ms,12.252033,516
frame_time_ms,12.344003,517
frame_time_ms,12.786984,518
frame_time_ms,11.988997,519
frame_time_ms,12.379050,520
frame_time_ms,12.297988,521
frame_time_ms,12.157022,522
frame_time_ms,12.149036,523
frame_time_ms,12.293041,524
frame_time_ms,12.531996,525
frame_time_ms,12.130976,526
frame_time_ms,12.107968,527
frame_time_ms,12.082994,528
frame_time_ms,12.427986,529
frame_time_ms,12.193977,530
frame_time_ms,12.063980,531
frame_time_ms,12.154997,532
frame_time_ms,12.515009,533
frame_time_ms,12.852013,534
frame_time_ms,12.027025,535
frame_time_ms,12.314022,536
frame_time_ms,12.188017,537
frame_time_ms,12.201012,538
frame_time_ms,12.225986,539
frame_time_ms,12.049973,540
frame_time_ms,12.264967,541
frame_time_ms,12.095034,542
frame_time_ms,11.974991,543
frame_time_ms,12.326002,544
frame_time_ms,12.409031,545
frame_time_ms,12.037992,546
frame_time_ms,11.996984,547
frame_time_ms,12.252033,548
frame_time_ms,14.709949,549
frame_time_ms,13.826013,550
frame_time_ms,13.001978,551
frame_time_ms,13.515055,552
frame_time_ms,13.004005,553
frame_time_ms,13.037979,554
frame_time_ms,12.551010,555
frame_time_ms,12.970030,556
frame_time_ms,12.690008,557
frame_time_ms,12.358963,558
frame_time_ms,12.649000,559
frame_time_ms,12.365997,560
frame_time_ms,12.580991,561
frame_time_ms,12.694001,562
frame_time_ms,12.287974,563
frame_time_ms,13.204992,564
frame_time_ms,12.492954,565
frame_time_ms,14.083982,566
frame_time_ms,12.862980,567
frame_time_ms,13.834953,568
frame_time_ms,12.665987,569
frame_time_ms,12.947977,570
frame_time_ms,13.664007,571
frame_time_ms,15.576005,572
frame_time_ms,14.342010,573
frame_time_ms,12.512981,574
frame_time_ms,13.421000,575
frame_time_ms,12.677013,576
frame_time_ms,13.378024,577
frame_time_ms,12.588024,578
frame_time_ms,12.667953,579
frame_time_ms,19.952000,580
frame_time_ms,13.570011,581
frame_time_ms,12.880981,582
frame_time_ms,12.848973,583
frame_time_ms,12.809992,584
frame_time_ms,12.848020,585
frame_time_ms,14.513969,586
frame_time_ms,13.716995,587
frame_time_ms,15.025973,588
frame_time_ms,13.680994,589
frame_time_ms,13.522029,590
frame_time_ms,12.800991,591
frame_time_ms,12.368023,592
frame_time_ms,12.773037,593
frame_time_ms,12.525023,594
frame_time_ms,13.100982,595
frame_time_ms,13.016998,596
frame_time_ms,12.425959,597
frame_time_ms,12.488008,598
frame_time_ms,12.008965,599
frame_time_ms,11.897982,600
frame_time_ms,12.106001,601
frame_time_ms,12.863040,602
frame_time_ms,13.311982,603
frame_time_ms,12.202978,604
frame_time_ms,12.630999,605
frame_time_ms,12.023985,606
frame_time_ms,12.381971,607
frame_time_ms,11.868000,608
frame_time_ms,12.104988,609
frame_time_ms,11.650026,610
frame_time_ms,12.302041,611
frame_time_ms,12.457967,612
frame_time_ms,11.851013,613
frame_time_ms,12.023985,614
frame_time_ms,12.125015,615
frame_time_ms,11.745989,616
frame_time_ms,12.097955,617
frame_time_ms,12.120008,618
frame_time_ms,12.050033,619
frame_time_ms,12.140989,620
frame_time_ms,11.938990,621
frame_time_ms,12.088001,622
frame_time_ms,12.530029,623
frame_time_ms,12.440979,624
